Username,Text,language,retweet_count,Time,location
hallo_fran,#manouchehrmehmanNavaz we see you! You are not alone ❤️❤️❤️❤️    #Mahsa_Amini   #MohsenShekari   #MajidrezaRahnavard   #HosseinMohammadi   #HosseinSaeedi   #hosseinronaghi   #NiloofarHamedi   #ElhamAfkari   #elznazRekabi  #FreeIran   #IranRevolution2022 https://t.co/XtVFwC4txJ,en,0,2022-12-22 16:17:58+00:00,Switzerland
hallo_fran,#ShoaibMirBalochZehiRigi   We see you ❤️❤️❤️    #ZanZendegiAzadi   #Mahsa_Amini   #SamanSeydi   #HosseinMohammadi   #hosseinronaghi   #NiloofarHamedi   #elnazRekabi  #IranRevoIution2022   #FreeIran https://t.co/zZzOsqMrRx,en,0,2022-12-22 11:31:49+00:00,Switzerland
angelicax778,"The Iranians are not only geniuses and experts in their own fields, but they're also ethical human beings. That's the reason why #HosseinRonaghi languished in prison. That's why #ArashSadeghi is risking his life for a free and democratic Iran. https://t.co/1LuKx6q2hE",en,6,2022-12-22 05:12:52+00:00,
SearchForAzadi,"Happy winter solstice   یلدا مبارک  This time the longest night of the year is not tonight. The longest night of the year was the night students of the #sharifuniversity were surrounded by the security forces, the night #hosseinronaghi was brought to the Saman Hospital, https://t.co/WC3yatqiNQ",en,0,2022-12-21 18:07:59+00:00,
SKZstoriess,"The Iranians are not only geniuses and experts in their own fields, but they're also ethical human beings. That's the reason why #HosseinRonaghi languished in prison. That's why #ArashSadeghi is risking his life for a free and democratic Iran. https://t.co/1LuKx6q2hE",en,6,2022-12-21 17:35:09+00:00,
Mahan20412112,"The life of prominent Iranian dissident #HosseinRonaghi is in danger.His family asks for people to surround hospital that security forces took him to, to prevent further harm to him. He is thought to be in the surgery ward, surrounded by doctors/nurses loyal to regime.  @UN_HRC https://t.co/rjWRUROIzz https://t.co/PanuAvCUNj",en,4285,2022-12-21 17:02:33+00:00,
Mahan20412112,"Thank you @JakeSullivan46 for expressing U.S. concern over the welfare of #HosseinRonaghi in #Iran and warning the regime ""the eyes of the world are on Iran."" #MahsaAmini https://t.co/EJglZaNOhZ",en,2765,2022-12-21 17:02:32+00:00,
melimjk,For #MinaGhalandati who was kidnapped from her house  #مینا_قلندری   #MahsaAmini  #Sarina_Esmaeilzadeh  #HadisNajafi  #Nika_Shakarami  #ElahehMohammadi  #Niloufar_Hamedi  #HelenAhmadi  #MonaNaghib  #HananehKia  #HosseinRonaghi  #Armita_Abbasi  #HananeKia  #IranRevoIution  #OpIran  #پارسا_رضادوست https://t.co/rNKWvKkBwP,en,1,2022-12-21 16:55:52+00:00,Earth
melimjk,For all awaiting moms who have no one. Let be their someone.    #MahsaAmini  #Sarina_Esmaeilzadeh  #HadisNajafi  #Nika_Shakarami  #ElahehMohammadi  #Niloufar_Hamedi  #HelenAhmadi  #MonaNaghib  #HananehKia  #HosseinRonaghi   #Armita_Abbasi  #HananeKia    #مینا_قلندری  #MinaGhalandari  #OpIran https://t.co/XLg4ahi0ur,en,3,2022-12-21 16:55:48+00:00,Earth
baran7495,"The Iranians are not only geniuses and experts in their own fields, but they're also ethical human beings. That's the reason why #HosseinRonaghi languished in prison. That's why #ArashSadeghi is risking his life for a free and democratic Iran. https://t.co/1LuKx6q2hE",en,6,2022-12-21 11:38:43+00:00,
Con_E76,@TzviJoffre @m___aSh____a Thanks for sharing.   #StopExecutionInIran #MahsaAmini   #IranRevolution2022 @UN_HRC   #ElnazRekabi #OpIran #WomanLifeFreedoom #ToomajSalehi #HosseinRonaghi @volker_turk @CBC @CBCStephenQuinn @JustinTrudeau @GlobalBC @nationalpost @globeandmail #KhameneiChildKiller #KianPirfalak,en,0,2022-12-21 09:01:18+00:00,Canadia
Persianr0yalty,"Islamic Regime executed his son,#Navid_Afkari, imprisoned her sons, and now her daughter, #Elham_Afkari. Islamic regime is killing Iranian people. Help! Help!     #Painful  #Navid_Afkari   #ElhamAfkari  #Elham_Afkari  @HosseinRonaghi  #HosseinRonaghi https://t.co/KoqIvzTmDA",en,2,2022-12-21 04:35:43+00:00,Azadi Tower
shir_zhiyan,@HosseinRonaghi #SS35 please read the mentioned tweet which #hosseinronaghi has written himself about the process of his arrest. This is all against human rights and fair trial. #IranRevoIution,en,4,2022-12-21 00:53:47+00:00,
shi_n_k1,@HosseinRonaghi #SS35 please read the mentioned tweet which #hosseinronaghi has written himself about the process of his arrest. This is all against human rights and fair trial. #IranRevoIution,en,4,2022-12-21 00:33:10+00:00,
IranUprisings,@HosseinRonaghi #SS35 please read the mentioned tweet which #hosseinronaghi has written himself about the process of his arrest. This is all against human rights and fair trial. #IranRevoIution,en,4,2022-12-20 17:30:49+00:00,حكومت اسلامي اشغالگر ساقط
MichelleKalehz1,@chelseahartisme @crimsonboudoir Sick sick #StopExecutionInIran #MahsaAmini   #IranRevolution2022 @UN_HRC   #ElnazRekabi #OpIran #WomanLifeFreedoom #ToomajSalehi #HosseinRonaghi @volker_turk @CBC @CBCStephenQuinn @JustinTrudeau @GlobalBC @nationalpost @globeandmail #KhameneiChildKiller #KianPirfalak.,en,2,2022-12-20 17:29:55+00:00,"Los Altos, CA"
sahra02588710,"In #Christchurch tomorrow there will be an exhibition to raise awareness about Iran, to show solidarity with political prisoners and to echo the calls from inside Iran for regime change. Please support if you’re in town.  #hosseinronaghi   #ToomajSalehi   #SamanYasin https://t.co/E0rHAzd6qU",en,2,2022-12-20 15:49:55+00:00,
Nistaalesandro,@HosseinRonaghi #SS35 please read the mentioned tweet which #hosseinronaghi has written himself about the process of his arrest. This is all against human rights and fair trial. #IranRevoIution,en,4,2022-12-20 15:11:02+00:00,
seekweston,Where is America? @POTUS @VP @SecBlinken @DeputySecState @SenTedCruz @SenRickScott @ClooneyFDN @IsraeliPM @UNHumanRights #SayTheirNames #MashaAmini #nika_shakarami #aylarhaghi #KianPirfalak #ToomajSalehi #HosseinRonaghi #HamidrezaRouhi #MohammadMehdiKarami #FreeIran2022 https://t.co/A4NflVRiJc,en,0,2022-12-20 03:32:33+00:00,United States
Con_E76,World! Help! #StopExecutionInIran #MahsaAmini   #IranRevolution2022 @UN_HRC   #ElnazRekabi #OpIran #WomanLifeFreedoom #ToomajSalehi #HosseinRonaghi @volker_turk @CBC @CBCStephenQuinn @JustinTrudeau @GlobalBC @nationalpost @globeandmail #KhameneiChildKiller #KianPirfalak https://t.co/QUQwhbuOaK,en,0,2022-12-20 03:23:14+00:00,Canadia
Con_E76,@IranIntl_En Very Brave!  #StopExecutionInIran #MahsaAmini   #IranRevolution2022 @UN_HRC   #ElnazRekabi #OpIran #WomanLifeFreedoom #ToomajSalehi #HosseinRonaghi @volker_turk @CBC @CBCStephenQuinn @JustinTrudeau @GlobalBC @nationalpost @globeandmail #KhameneiChildKiller #KianPirfalak,en,0,2022-12-20 01:46:40+00:00,Canadia
Con_E76,@NazaninNour I said the same!  #StopExecutionInIran #MahsaAmini   #IranRevolution2022 @UN_HRC   #ElnazRekabi #OpIran #WomanLifeFreedoom #ToomajSalehi #HosseinRonaghi @volker_turk @CBC @CBCStephenQuinn @JustinTrudeau @GlobalBC @nationalpost @globeandmail #KhameneiChildKiller #KianPirfalak,en,0,2022-12-20 01:37:11+00:00,Canadia
