Username,Text,language,retweet_count,Time,location
Lalehjann2025,"I am the  French #godmother of #NastoohNIkkhah   He is one of 5 defendants in the case of the death of IRGC Arman Ali Verdi in Ektaban .He has not a fair trial , he may be executed anytime #SayTheirNames #AidaRostami #KianPirfalak #MohsenShekari #IranRevolution2022 https://t.co/XnGoQtcpzs",en,551,2022-12-18 13:12:22+00:00,
bassbernie,Mohsen Shekari – He has been executed by the murderous Islamic Republic  #MohsenShekari #execution #islamicrepublic #streetart #berlin #urbanart 13.12.22 ©B.Sauer-Diete  #jinjiyanazadi #zanzandegiazadi #womanlifefreedom #IranRevolution2022 #stopexecutions #stopexecutionsiniran https://t.co/v2aR9PpEGp,en,0,2022-12-18 13:12:19+00:00,"Berlin, Germany"
lightkhorshid,"Courage is not action without fear, it is action despite the fear.The Islamic Republic wanted to reproduce fear.  But on the contrary, courage multiplied.  Courage is increasing in all walks of life.  شجاعت تکثیر میشود.    #MahsaAmini  #IranRevolution2022 https://t.co/SI0W2CI8m7",en,0,2022-12-18 13:12:14+00:00,Paris
znzendgi_azadi,"BE HER VOICE:  Mahsa Mohammadi, a microbiology student from Sabzevar was arrested in early October and accused of blasphemy. She is currently held in Isfahan prison and may face the death penalty.     #Mahsa_Mohammadi  #مهسا_محمدی #MahsaAmini #IranRevolution2022   ۲۸،۲۹،۳۰ https://t.co/SWblJ2iA7e",en,0,2022-12-18 13:12:00+00:00,"Poplar, London"
OneFighter22FJB,"I am the  French #godmother of #NastoohNIkkhah   He is one of 5 defendants in the case of the death of IRGC Arman Ali Verdi in Ektaban .He has not a fair trial , he may be executed anytime #SayTheirNames #AidaRostami #KianPirfalak #MohsenShekari #IranRevolution2022 https://t.co/XnGoQtcpzs",en,551,2022-12-18 13:11:38+00:00,🇺🇸
JacobPape4,"December 17 - Tehran, #Iran   Darvazeh Dowlat Metro Station  Protesters chanting: ""Death to the dictator!""  #IranRevolution2022  https://t.co/zs6ZWsWgfH",en,58,2022-12-18 13:10:12+00:00,"London,U.K.Or Europe."
znzendgi_azadi,#Mahsa_Mohammadi is a student of microbiology at Sabzevar University.she was arrested and sentenced to execution because of her tweet. She is in danger of dying. Being her voice.  #مهسا_محمدی   #Mahsa_Amini   #StopExecutionInIran   #IranRevolution2022 https://t.co/Ylzi9WTzSg,en,36,2022-12-18 13:09:42+00:00,"Poplar, London"
aeraclitus,@Wannabackto505 URGENT:  There was a rebellion today in the #Karaj Central borstal today. The prisoners protested against the future execution of one of the prisoners. There's a high chance that that prisoner was #MehdiKarami  The situation in the borstal is really tense.  #IranRevolution2022,en,11,2022-12-18 13:09:41+00:00,
znzendgi_azadi,"BE HER VOICE:  Mahsa Mohammadi, a microbiology student from Sabzevar was arrested in early October and accused of blasphemy. She is currently held in Isfahan prison and may face the death penalty.     #Mahsa_Mohammadi  #مهسا_محمدی #MahsaAmini #IranRevolution2022 https://t.co/Y9pOeaFdid",en,81,2022-12-18 13:09:08+00:00,"Poplar, London"
thehoff102,Iranian actor Taraneh Alidoosti arrested after criticism of death penalty   https://t.co/bi4p0QJkFW    #Iran   #IranRevolution2022   #IranProtests,en,0,2022-12-18 13:09:03+00:00,"Wheathampstead, East"
ahmadinegar12,"I am the  French #godmother of #NastoohNIkkhah   He is one of 5 defendants in the case of the death of IRGC Arman Ali Verdi in Ektaban .He has not a fair trial , he may be executed anytime #SayTheirNames #AidaRostami #KianPirfalak #MohsenShekari #IranRevolution2022 https://t.co/XnGoQtcpzs",en,551,2022-12-18 13:08:45+00:00,
