Username,Text,language,retweet_count,Time,location
zeytoon_d,رسانه قوه قضائیه ضمن تایید پلمب «گالری جواهرآلات نور» متعلق به #علی_دایی، علت این دستور را «همراهی با گروه‌های ضد انقلاب» در فضای مجازی عنوان کرد    #مهسا_امینی   #MahsaAmini https://t.co/SYbr6eWCET,fa,191,2022-12-05 10:44:05+00:00,tehran
BgLovmOEKmaZmv0,بماند به یادگار برای اون روز خوب که همه کنار هم بخندیم...  #MahsaAmini  #مهسا_امینی https://t.co/nbT5aTLZUy,fa,3402,2022-12-05 10:44:05+00:00,
filan77611233,تحصن دانشجویان علم و صنعت  دانشکده برق  ١۴ آذر    #مهسا_امینی   #MahsaAmini https://t.co/ftaO6uKcu3,fa,149,2022-12-05 10:44:05+00:00,
farih1373,Start.  #MahsaAmini   #مهسا_امینی #اعتصابات_سراسری https://t.co/BtHP2TRemq,en,4,2022-12-05 10:44:05+00:00,
pooshi37,"@nytimes Farnaz Fassihi is lobbying for Islamic republic please fire her from nytimes , your newspaper is getting unreliable for Iranian people.  #MahsaAmini",en,2,2022-12-05 10:44:04+00:00,
Atash_N90,"Islamic Republic’s failed attempt to suppress the Revolution has reached the stage where they want to execute arrestees, including many children.  We beg the world media to report this NOW. We’ll provide any content you need re these arrestees in danger of execution.   #MahsaAmini",en,1178,2022-12-05 10:44:04+00:00,
TheRealMendo,"You can’t hand over death sentences, keep +15,000 people in prison for speaking out, steal victims' bodies, intimidate the families, kill more than 450 people, &amp; claim the alleged suspension of the morality police is a change. It’s NOT. #MahsaAmini #مهسا_امینی #IranRevolution https://t.co/MGA7q2ZJNd",en,2172,2022-12-05 10:44:04+00:00,Malta
Mojy_Amiry,روزهای ۱۴،۱۵،۱۶ آذر چه خبره؟  هیچ خبری جز انقلاب و سرنگونی نیست  همه‌ی وجودمان برای ایران  #مهسا_امینی  #MahsaAmini,fa,7437,2022-12-05 10:44:03+00:00,
amoomamad24,Because We Fucking Can 💪 #MahsaAmini https://t.co/BNLSEzNUgh,en,0,2022-12-05 10:44:03+00:00,"New York, USA"
Calin24210525,Today jewelry store and restaurant owned by popular Iranian footballer Ali Daei have been sealed in Tehran due to joining the nationwide strikes.  He has received serious life threats from affiliates of the Islamic Republic due to his support for the Iranian people.  #MahsaAmini https://t.co/YsrqhtJ8lB,en,917,2022-12-05 10:44:03+00:00,
SAD010MAD,رژيم ايران به خوبى ميداند كه در حال شكست است و به دنبال راهى براى نجات خود مى باشد     فریب تلاش‌های رژیم برای کسب امتیاز با غرب با منحرف کردن تمرکز از هدف واقعی ،یعنی تغییر رژیم را نخورید.  #IranRevolution #MahsaAmini     https://t.co/MdcVgxU6Oy,fa,856,2022-12-05 10:44:03+00:00,
butterfly47783,Some international news sites are talking about the Iranian people winning the revolution because the Ershad patrol has stopped working.The work of Ershad Patrol has not been stopped and only its name has been changed.  #MahsaAmini,en,259,2022-12-05 10:44:02+00:00,
Iraj_irani73,Exactly    #MahsaAmini   #IranRevoIution https://t.co/XTjFys6WJq,en,0,2022-12-05 10:44:01+00:00,
Aseman79253366,"@TaheriOfficial O my dear Professor  Your honesty and righteous struggles and your bravery have been proven for all of us, your students,  O great man, superman and guide of humanity to perfection.  #MahsaAmini   #OpIran",en,6,2022-12-05 10:44:01+00:00,
